 71,  22,
 27,  147,
 60,  162,
 78,  98,
 106,  102,
 95,  163,
 129,  165,
 149,  36,
 123,  30,
 107,  86,
 84,  80,
 100,  35,
 71,  22,
 107,  14,
 188,  16,
 177,  164,
 241,  157,
 241,  123,
 199,  126,
 200,  96,
 236,  93,
 236,  62,
 200,  68,
 198,  39,
 241,  47,
 244,  19,
 171,  21,
 222,  11,
 270,  25,
 268,  166,
 340,  163,
 343,  136,
 299,  140,
 300,  31,
 271,  25,
 339,  11,
 359,  23,
 352,  160,
 430,  157,
 429,  137,
 372,  137,
 372,  15,
 341,  17,
 386,  8,
 497,  18,
 468,  50,
 469,  107,
 480,  140,
 502,  152,
 526,  147,
 551,  130,
 558,  107,
 559,  74,
 557,  48,
 550,  29,
 539,  21,
 520,  16,
 505,  14,
 486,  15,
 485,  17,
 494,  36,
 491,  50,
 486,  96,
 486,  103,
 490,  120,
 503,  120,
 516,  102,
 517,  81,
 516,  64,
 512,  48,
 504,  41,
 496,  42,
 487,  44,
 489,  45,
 495,  34,
 489,  26,
 470,  48,
 470,  109,
 481,  141,
 449,  182,
 58,  215,
 38,  342,
 60,  342,
 74,  291,
 106,  283,
 132,  344,
 169,  341,
 101,  200,
 61,  204,
 79,  228,
 76,  263,
 97,  263,
 80,  231,
 79,  228,
 62,  206,
 100,  205,
 203,  203,
 198,  333,
 276,  340,
 278,  301,
 219,  307,
 217,  196,
 190,  202,
 302,  199,
 302,  221,
 332,  216,
 329,  194,
 299,  198,
 296,  223,
 291,  350,
 320,  347,
 315,  238,
 285,  241,
 286,  242,
 317,  240,
 364,  242,
 365,  206,
 451,  207,
 455,  232,
 396,  233,
 396,  260,
 458,  259,
 460,  301,
 399,  291,
 394,  328,
 455,  324,
 452,  362,
 351,  368,
 361,  205,
 481,  208,
 476,  358,
 499,  366,
 503,  232,
 565,  377,
 587,  376,
 571,  174,
 555,  210,
 566,  322,
 508,  208,
 471,  187,
 469,  208,
